LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
50,2000,3000,GERTRUDE GREENE Construction.,"GERTRUDE GREENE
Construction.

Black ink and gesso ground on Arches, circa 1950. 562x760 mm; 22x29 inches. Signed in ink, lower right recto, and titled in ink, verso.Ex-collection private collection, New York.Greene (1904-1956) was an abstract sculptor and painter from New York, who along with her husband Balcomb Greene (1904-1990) were significant proponents of abstract art in America (she worked to gain acceptance of abstract art by picketing museums that did not feature works of abstract artists). She was among the first American artists to produce non-objective relief sculptures in the early 1930s and continued her focus on abstraction in paintings and drawings of the 1940s and 1950s. Greene was a founding member of the American Abstract Artists group, in 1936, and had her first solo exhibition at Grace Borgenicht Gallery, New York, in 1951, followed by another at the Bertha Schaefer Gallery, New York, in 1955. She died young due to complications from cancer.",,,774258
51,1500,2500,JOAN MITCHELL Champs (Grey).,"JOAN MITCHELL
Champs (Grey).

Color lithograph on Arches, 1991. 762x563 mm; 30x22 inches (sheet), full margins. Signed and numbered 32/125 in pencil, lower margin. Printed by Atelier Bordas, Paris. Published by Éditions Jean Fournier, Paris. A very good impression.",,,775128
52,4000,6000,TIBER PRESS The Poems * Salute * Odes * Permanently.,"TIBER PRESS
The Poems * Salute * Odes * Permanently. 

Group of 4 volumes, each with 3 color screenprints hors texte, color screenprint title page and color screenprint front cover on Hahnemühle paper, 1960. 445x355 mm; 17 5/8x14 inches (sheets), bound as issued. Each an edition of 200. Each signed by the artist and author in ink and numbered ""146"" on the justification page. Published by Tiber Press, New York.Including The Poems, with color screenprints by Joan Mitchell and poems by John Ashbery * Salute, with color screenprints by Grace Hartigan and poems by James Schuyler * Odes, with color screenprints by Michael Goldberg and poems by Frank O'Hara * Permanently, with color screenprints by Alfred Leslie and poems by Kenneth Koch. With the original olive linen bound slipcase. Superb, richly-inked impressions of these very scarce, early prints with vibrant colors.",,,774287
53,5000,8000,GRACE HARTIGAN Salute.,"GRACE HARTIGAN
Salute.

Set of 4 color screenprints on white wove paper, 1961. Each 457x362 mm; 18x14¼ inches (sheets), full margins. The deluxe editions of 14 and 22, aside from the book edition of 200 (see lot 52). Three color screenprints from the edition of 14, each signed, dated and numbered in pencil, lower margin; one color screenprint from the edition of 22, signed, dated and numbered in pencil, lower margin. Published by Tiber Press, New York. Superb, richly-inked impressions with strong colors.",,,773731
54,4000,6000,HELEN FRANKENTHALER Un Poco Más.,"HELEN FRANKENTHALER
Un Poco Más.

Color lithograph on White Arches Cover paper, 1987. 690x945 mm; 27¼x37¼ inches (sheet), full margins. Signed, dated and numbered 17/60 in white pencil, lower margin. Printed and published by Polígrafa, Barcelona. A very good impression. Harrison 140.",,,776657
55,3000,5000,HELEN FRANKENTHALER Ramblas.,"HELEN FRANKENTHALER
Ramblas.

Color lithograph, drypoint and etching on White Rives BFK paper, 1987-88. 872x680 mm; 34¼x27 inches (sheet), full margins. Signed, dated ""87-88"" and numbered 17/75 in pencil, lower margin. Printed and published by Polígrafa, Barcelona. A very good impression with vibrant colors. Harrison 141.",,,776658
56,30000,50000,HELEN FRANKENTHALER Spring Run XVI.,"HELEN FRANKENTHALER
Spring Run XVI.

Color monotype over white-washed lithograph proof on Arches Cover paper, 1996. 1025x805 mm; 40½x31¾ inches (sheet), full margins. Signed in pencil, lower right, and inscribed ""XVI"" and dated in pencil, verso. Printed and published by Tyler Graphics, Ltd., Mount Kisco, with the blind stamp, lower left.Frankenthaler (1928-2011, see lots 54-57, lot 199 and lot 200) was part of the second generation of Abstract Expressionists in New York and pioneered the Color Field Painting style. Though she was frequently lauded for her experimentation in painting, her work as a printmaker has also been noted for her ground-breaking innovations. The New York School had not practiced printmaking extensively until Universal Limited Art Editions (ULAE) was founded in 1957 in West Islip. Frankenthaler did not enthusiastically come into printmaking at first, but as she became more versatile with various printmaking techniques and their sometimes labor-intensive process, she became a devotee and would frequently return to print workshops throughout her career. Frankenthaler first used monotype, which can incorporate different materials as print matrixes to create unique impressions, in 1964. The monotype medium allowed Frankenthaler the freedom to work directly on the printing plate or other flat matrix.Over the course of her career, she experimented with printing monotypes from woodcuts (then considered an outdated medium), torn rubber and intaglio. To push the boundaries of the woodcut, Frankenthaler collaborated with the master printer Kenneth Tyler in the 1970s. She put together matrixes of thin plywood which were separately inked with colors in order to achieve her signature stained and washed style. She also used lithographic presses and different papers in experimenting with her woodcuts. In her partnership with Tyler, Frankenthaler pushed the boundaries of the medium to parallel painterly abstraction.",,,776492
57,40000,60000,HELEN FRANKENTHALER Hermes.,"HELEN FRANKENTHALER
Hermes.

Color Mixografía on white handmade paper, 1989. 1118x2337 mm; 44x92 inches (sheet), full margins. One of 12 numbered artist's proofs, aside from the edition of 50. Signed, dated, inscribed ""AP"" and numbered 8/12 in pencil, lower right. Printed by Luis Remba, Mixografía, Los Angeles. Published by Mixografía, Los Angeles. A superb impression of this large print, with strong colors.According to Harrison, ""Frankenthaler began working with Mixografía in Los Angeles in December 1986. For the process of Mixografía, created by Luis Remba, director of the workshop [along with his wife Lea Remba and the Mexican artist Rufino Tamayo in 1973], an artist must first make a maquette, from which a copper plate is then made in the negative. Once the copper plate is inked, moist handmade paper is laid on top and placed in a press with extreme vertical pressure, thus forming a sheet of paper with the ink infused in its surface. The molds or maquettes can be made from a variety of materials . . . Guadalupe (Harrison 164) and Hermes are melted wax images over wax plates, materials that create a smooth ground for the large planes of color to play off.Frankenthaler initially created eight molds, from which she chose five to make the [Mixografía] editions. The other three matrixes were discarded, though there are a few proofs remaining in Frankenthaler's archive. Once the molds were completed, Mixografía sent the artist a number of un-inked white sheets formed from her copper plates. She used these to create nine monoprints by hand, working the surface with paint and pastel (Harrison 155-163). Although unlike any of the final edition [Mixografía] prints, these pieces helped Frankenthaler to adjust to the new medium and to develop her ideas."" Harrison 166.",,,776507
58,3000,5000,LEE KRASNER Special Gold.,"LEE KRASNER
Special Gold.

Color lithograph printed in golden orange on Arches, 1969. 570x765 mm; 22½x30 inches (sheet), full margins. Signed, inscribed ""a"" and numbered XII/XV in pencil, lower right. Printed by Mourlot Press, New York. Published by Marlborough Graphics, New York. From Long Lines for Lee Krasner. A very good impression of this scarce lithograph.According to Williams, working on the original three lithograph stones for Primary Series, ""Krasner made nine new and different designs, three to each color, published as a set, entitled Long Lines for Lee Krasner, the title of a poem by Richard Howard. The set was signed and numbered in Roman numerals I to XV and marked 'a' to 'i' in each portfolio,"" (Williams, The Prints of Lee Krasner, Print Quarterly, December, 2001, page 412). Landau 533 (Primary Series); Williams 9.",,,775352
59,3000,5000,LEE KRASNER Special Blue.,"LEE KRASNER
Special Blue.

Color lithograph printed in blue on Arches, 1969. 575x763 mm; 22½x30 inches (sheet), full margins. Signed, inscribed ""h"" and numbered XIII/XV in pencil, lower right. Printed by Mourlot Graphics, Ltd., New York. Published by Marlborough Graphics, New York. From Long Lines for Lee Krasner.  A very good impression of this scarce lithograph. Landau 531 (Primary Series); Williams 16.",,,775353
60,10000,15000,ELAINE DE KOONING Bacchus #27-P.,"ELAINE DE KOONING
Bacchus #27-P.

Acrylic on plywood, 1982. 372x295 mm; 14x11 inches. Signed and dated in acrylic, lower right recto.Ex-collection Gruenenbaum Gallery, Ltd., New York, with the label; private collection, Chicago.During a visit to the Jardin du Luxembourg, Paris, in 1976, Elaine de Kooning (1918-1989, see lot 198) saw a 19th century statue of the Roman god of wine, Bacchus, rendered with a twisted, dynamic form. When she returned to Athens, Georgia, where she was teaching at the University of Georgia, she commenced a series of paintings based on the sculpture. It was her first time using acrylic, and over the course of seven years she worked on a series of dozens of Bacchus paintings and captured the excited commotion associated the Roman god through her colorful palette and quintessential gestural brushstrokes.",,,776711
61,4000,6000,RICHARD DIEBENKORN Woman Seated in an Armchair.,"RICHARD DIEBENKORN
Woman Seated in an Armchair.

Lithograph on Rives BFK, 1965. 630x492 mm; 24¾x19½ inches, full margins. Initialed, dated and numbered 15/100 in ink, lower margin. Printed and published by Original Press, San Francisco, with the blind stamp lower left. A very good impression of this scarce, early lithograph.",,,775945
62,4000,6000,RICHARD DIEBENKORN Seated Woman.,"RICHARD DIEBENKORN
Seated Woman.

Lithograph, 1965. 640x500 mm; 25x19¾ inches, full margins. Initialed, dated and numbered 71/100 in ink, lower margin. Printed and published by Original Press, San Francisco, with the blind stamps lower right. A very good impression of this early lithograph.",,,775946
63,4000,6000,RICHARD DIEBENKORN Seated Woman on Sofa.,"RICHARD DIEBENKORN
Seated Woman on Sofa.

Lithograph on Rives, 1965. 610x483 mm; 24x19 inches (sheet), full margins. Initialed, dated and numbered 15/100 in ink, lower margin. Printed and published by Original Press, San Francisco, with the blind stamps lower right. A superb, richly-inked impression of this scarce lithograph.",,,775944
64,4000,6000,RICHARD DIEBENKORN Seated Woman in a Striped Dress.,"RICHARD DIEBENKORN
Seated Woman in a Striped Dress.

Lithograph, 1965. 686x520 mm; 27x20½ inches, full margins. Initialed, dated and numbered 39/100 in pen and black ink, lower margin. Printed and published by Original Press, San Francisco, with the blind stamps lower right. A superb, dark impression of this scarce lithograph.",,,776527
65,2500,3500,"RICHARD DIEBENKORN Six Softground Etchings, #1.","RICHARD DIEBENKORN
Six Softground Etchings, #1.

Soft-ground etching on Rives buff wove paper, 1978. 278x200 mm; 11x8 inches, full margins. Initialed, dated, titled ""#1"" and numbered 12/35 in pencil, lower margin. Printed and published by Crown Point Press, Oakland, with the blind stamp lower margin. A very good impression.",,,776502
66,2500,3500,SAM FRANCIS Affiche Moderna Museet Stockholm.,"SAM FRANCIS
Affiche Moderna Museet Stockholm.

Color lithograph on cream wove paper, 1960. 946x686 mm; 37¼x27 inches (sheet), full margins. Artist's proof, aside from the edition of 75. Signed and inscribed ""épreuve d'artiste"" in pencil, lower margin. Printed by Emil Matthieu Atelier, Zurich. Published by Kornfeld and Klipstein, Bern. A very good impression of this early lithograph with strong colors. Lembark 16.",,,776441
